date,portfolio,cash,total
2026-04-28 00:00:00,25009.38,8448.57,33457.95
2026-04-30,25061.62,8448.57,33510.19
2026-05-01,25264.31,8448.57,33712.88
2026-05-06,33107.97,2802.57,35910.54
2026-05-07,33783.93,2802.57,36586.5
2026-05-08,33611.84,2802.57,36414.41
2026-05-09,35957.26,1686.57,37643.83
2026-05-10,35957.26,1686.57,37643.83
2026-05-11,36001.77,1686.57,37688.34
2026-05-12,36464.26,1686.57,38150.83
2026-05-13,35615.78,1686.57,37302.35
2026-05-14,34858.21,1686.57,36544.78
2026-05-15,35669.27,1686.57,37355.84
2026-05-19,35252.24,1686.57,36938.81
2026-05-20,29537.53,5260.47,34798.0
2026-05-21,36257.17,5285.47,41542.64
2026-05-22,36581.19,5285.47,41866.66
2026-05-23,37324.68,5285.47,42610.15
